City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Dulce Nombre De Culmi,HN,15.1,-85.5333,82.63,79,66,3.87,broken clouds
310,Maneadero,MX,31.7167,-116.5667,57.09,78,96,1.99,overcast clouds
311,La Paz,BO,-16.5,-68.15,60.78,24,40,14.97,scattered clouds
312,Sydney,AU,-33.8679,151.2073,80.62,61,40,10.36,scattered clouds
313,Wencheng,CN,33.0559,113.7978,23.85,54,0,3.38,clear sky
314,Houma,US,29.5958,-90.7195,64.4,66,0,8.05,clear sky
315,Kikwit,CD,-5.041,18.8162,69.85,97,83,1.59,light rain
316,Poli,TZ,-3.3333,36.8,68.27,78,16,5.88,few clouds
317,Atar,MR,20.5169,-13.0499,70.11,18,6,9.35,clear sky
318,Simbahan,PH,6.3032,120.5836,80.71,79,40,9.64,scattered clouds
319,Ilukste,LV,55.9775,26.2966,36.27,97,100,11.43,overcast clouds
320,Wad Madani,SD,14.4012,33.5199,69.71,16,6,14.61,clear sky
321,Kurumkan,RU,54.3,110.3,-4.16,98,100,1.28,light snow
322,Zhuhai,CN,22.2769,113.5678,51.58,71,20,24.16,few clouds
323,Ilulissat,GL,69.2167,-51.1,7.77,84,100,9.35,overcast clouds
324,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.11,95,94,2.55,overcast clouds
325,Fort-Shevchenko,KZ,44.5086,50.263,28.53,48,68,18.23,broken clouds
326,Erenhot,CN,43.6475,111.9767,3.6,78,0,16.06,clear sky
327,Emet,TR,39.343,29.2585,37.8,73,49,2.3,scattered clouds
328,Chara,RU,56.9064,118.2631,-30.44,77,62,0.85,broken clouds
329,Amguri,IN,26.8,94.5333,55.83,81,63,1.41,broken clouds
330,Korla,CN,41.7597,86.1469,3.2,94,80,2.71,broken clouds
331,San Alejo,SV,13.4314,-87.9631,85.8,27,4,2.98,clear sky
332,Gladstone,AU,-23.85,151.25,75.13,83,100,12.66,light rain
333,Manokwari,ID,-0.8667,134.0833,80.62,75,100,4.41,overcast clouds
334,Honningsvag,NO,70.9821,25.9704,26.35,68,75,3.44,broken clouds
335,Tselinnoye,RU,53.0833,85.6667,9.5,92,100,11.05,overcast clouds
336,Bayan,CN,46.0833,127.4,-23.39,99,11,3.47,few clouds
337,Kitakami,JP,39.2833,141.1167,32.34,100,75,2.3,fog
338,Nishihara,JP,26.1842,127.7558,60.46,77,75,27.63,broken clouds
339,Flin Flon,CA,54.7682,-101.865,8.44,78,75,3.44,light snow
340,Trzebiatow,PL,54.0615,15.2648,44.04,77,98,22.82,overcast clouds
341,Castro Verde,PT,37.6983,-8.0858,42.22,86,0,6.87,clear sky
342,Devonport,AU,-41.1667,146.35,64.09,52,13,6.08,few clouds
343,Mahajanga,MG,-15.7167,46.3167,77.02,94,40,2.3,thunderstorm
344,Rocha,UY,-34.4833,-54.3333,69.21,61,0,7.85,clear sky
345,Walvis Bay,NA,-22.9575,14.5053,68.95,73,42,4.61,scattered clouds
346,Iralaya,HN,15.0,-83.2333,75.07,63,60,12.66,broken clouds
347,Caravelas,BR,-17.7125,-39.2481,75.22,80,100,6.04,overcast clouds
348,Cochabamba,BO,-17.3895,-66.1568,80.35,19,20,16.11,few clouds
349,Mozarlandia,BR,-14.7447,-50.5706,77.07,82,87,2.28,overcast clouds
350,Chuy,UY,-33.6971,-53.4616,70.14,71,0,8.05,clear sky
351,Oktyabrskoye,RU,43.0645,44.7417,14.14,86,21,0.0,fog
352,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.06,86,77,3.27,moderate rain
353,Ayan,RU,56.45,138.1667,-29.36,71,60,11.68,broken clouds
354,Kavieng,PG,-2.5744,150.7967,82.47,77,89,7.83,moderate rain
355,Lavrentiya,RU,65.5833,-171.0,-4.68,87,98,12.8,overcast clouds
356,Victoria,HK,22.2855,114.1577,56.25,71,100,13.0,overcast clouds
357,Todos Santos,MX,23.45,-110.2167,80.31,67,70,8.61,broken clouds
358,Muzhi,RU,65.3667,64.6667,13.5,87,64,8.63,broken clouds
359,Aklavik,CA,68.2191,-135.0107,-18.45,97,100,2.73,overcast clouds
360,Pizhanka,RU,57.4604,48.542,7.27,85,50,11.27,scattered clouds
361,Bernardino De Campos,BR,-23.0131,-49.4742,71.6,88,100,0.67,overcast clouds
362,Gornyy,RU,55.1153,83.9059,6.37,93,96,12.1,overcast clouds
363,Bulawayo,ZW,-20.15,28.5833,65.25,72,16,10.25,few clouds
364,Mahanoro,MG,-19.9,48.8,72.5,91,26,5.06,light rain
365,Camacha,PT,33.0833,-16.3333,60.22,77,40,13.8,light rain
366,Kilindoni,TZ,-7.9139,39.6668,80.74,79,100,10.76,light rain
367,Acarau,BR,-2.8856,-40.12,78.71,82,100,11.99,overcast clouds
368,Isiro,CD,2.7739,27.616,68.07,58,35,2.89,scattered clouds
369,Maniitsoq,GL,65.4167,-52.9,3.31,90,100,24.23,light snow
370,Meulaboh,ID,4.1363,96.1285,74.32,89,89,3.06,overcast clouds
371,Kattivakkam,IN,13.2167,80.3167,73.49,72,1,1.83,clear sky
372,Yulara,AU,-25.2406,130.9889,86.41,32,28,14.0,scattered clouds
373,Luanda,AO,-8.8368,13.2343,78.8,83,20,6.91,few clouds
374,Plouzane,FR,48.3833,-4.6167,48.38,78,75,28.77,broken clouds
375,Husavik,IS,66.0449,-17.3389,21.58,68,100,15.7,overcast clouds
376,Urumqi,CN,43.801,87.6005,-8.45,84,75,0.0,mist
377,Maryborough,AU,-25.5333,152.7,73.72,91,100,6.06,light rain
378,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.13,96,99,1.01,overcast clouds
379,Mzimba,MW,-11.9,33.6,62.49,93,99,1.45,light rain
380,Hammerfest,NO,70.6634,23.6821,27.05,68,0,3.44,clear sky
381,Ajdabiya,LY,30.7554,20.2263,60.96,57,41,16.28,scattered clouds
382,Turukhansk,RU,65.8167,87.9833,-22.92,92,99,9.73,overcast clouds
383,Bonavista,CA,48.6499,-53.1147,32.25,92,100,21.97,overcast clouds
384,Apple Valley,US,34.5008,-117.1859,48.79,75,100,16.06,overcast clouds
385,Port-Gentil,GA,-0.7193,8.7815,78.76,94,20,2.3,thunderstorm
386,Petrokamenskoye,RU,57.716,60.6484,14.54,73,70,15.37,broken clouds
387,Lazaro Cardenas,MX,17.9583,-102.2,80.74,66,6,7.45,clear sky
388,Pemangkat,ID,1.1667,108.9667,75.09,87,11,6.51,few clouds
389,Concarneau,FR,47.875,-3.9225,50.79,79,90,31.56,overcast clouds
390,Jiuquan,CN,39.7432,98.5174,4.06,84,16,2.77,few clouds
391,Coihaique,CL,-45.5752,-72.0662,64.35,42,0,9.22,clear sky
392,Rio Gallegos,AR,-51.6226,-69.2181,66.25,26,75,21.85,broken clouds
393,San Antonio,US,29.4241,-98.4936,75.31,48,20,14.97,few clouds
394,Camopi,GF,3.1655,-52.3158,71.47,99,76,2.37,broken clouds
