City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
56,Ozu,JP,47.82,scattered clouds,33.5,132.55,No hotel found
57,Quang Ngai,VN,66.78,overcast clouds,15.1167,108.8,Ngoc Anh
58,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,Le Baril
59,Skibbereen,IE,40.37,few clouds,51.55,-9.2667,West Cork Hotel
60,Ahipara,NZ,71.67,overcast clouds,-35.1667,173.1667,YHA Ahipara
61,Clovis,US,55.29,scattered clouds,36.8252,-119.7029,BEST WESTERN Clovis Cole
62,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,No hotel found
63,Dawlatabad,AF,35.96,clear sky,36.4141,64.9053,No hotel found
64,Ola,RU,14.14,overcast clouds,59.5833,151.2833,No hotel found
65,Tres Picos,MX,78.67,broken clouds,15.8667,-93.5333,Hotel Tres Picos
66,Hilo,US,80.33,few clouds,19.7297,-155.09,Dolphin Bay Hotel
67,East London,ZA,68.0,few clouds,-33.0153,27.9116,No hotel found
68,Mataura,NZ,75.54,scattered clouds,-46.1927,168.8643,No hotel found
69,Banda Aceh,ID,75.24,broken clouds,5.5577,95.3222,Hotel 61
70,Kalabo,ZM,65.97,overcast clouds,-14.97,22.6814,Golden Lodge Luxury Acomodation
71,Castro,BR,65.35,broken clouds,-24.7911,-50.0119,Hotel Central Palace
72,Mahibadhoo,MV,80.01,broken clouds,3.7833,72.9667,Coral View Inn
73,Airai,TL,63.41,overcast clouds,-8.9266,125.4092,No hotel found
74,Dingle,PH,76.3,overcast clouds,10.9995,122.6711,No hotel found
75,Algodones,MX,72.14,clear sky,20.3888,-105.4773,No hotel found
77,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti International Resort
78,Daudnagar,IN,49.82,few clouds,25.0333,84.4,No hotel found
79,Salalah,OM,73.49,clear sky,17.0151,54.0924,Muscat International Hotel
80,San Quintin,MX,59.5,few clouds,30.4833,-115.95,Jardines Hotel
81,Terrace Bay,CA,30.07,overcast clouds,48.7834,-87.1,No hotel found
82,Norman Wells,CA,3.24,light snow,65.282,-126.8329,Yamouri Inn
83,Nkowakowa,ZA,67.28,overcast clouds,-23.8878,30.2871,No hotel found
84,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
85,Vila Franca Do Campo,PT,57.61,broken clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
86,Butaritari,KI,82.0,broken clouds,3.0707,172.7902,No hotel found
87,San Patricio,US,76.15,few clouds,28.017,-97.5169,No hotel found
88,Oum Hadjer,TD,66.42,clear sky,13.2954,19.6966,No hotel found
89,Port Lincoln,AU,68.86,clear sky,-34.7333,135.8667,Boston Hotel
90,Cabo San Lucas,MX,78.1,clear sky,22.8909,-109.9124,Comfort Rooms
91,Byron Bay,AU,78.71,scattered clouds,-28.65,153.6167,Lord Byron Resort
92,Vardo,NO,33.78,light snow,70.3705,31.1107,Meieriet
93,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
94,Cidreira,BR,73.56,few clouds,-30.1811,-50.2056,Hotel Castelo
96,Alofi,NU,84.09,light rain,-19.0595,-169.9187,No hotel found
98,Tuatapere,NZ,69.03,scattered clouds,-46.1333,167.6833,No hotel found
99,San Ignacio,BZ,73.98,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
100,Port Macquarie,AU,76.89,few clouds,-31.4333,152.9167,The Observatory
101,Carnarvon,AU,76.87,clear sky,-24.8667,113.6333,No hotel found
102,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Ocean Centre Hotel
103,Asau,RO,34.72,overcast clouds,46.4333,26.4,No hotel found
104,Matamoros,MX,80.71,clear sky,25.5333,-103.25,No hotel found
105,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
106,Longyearbyen,SJ,31.84,few clouds,78.2186,15.6401,The Vault
107,Artvin,TR,38.03,few clouds,41.1667,41.8333,Mars Hotel
108,Quelimane,MZ,72.14,clear sky,-17.8786,36.8883,Mabassa
109,Torbay,CA,38.57,moderate rain,47.6666,-52.7314,No hotel found
110,Mumbwa,ZM,64.35,moderate rain,-14.9783,27.0619,La Hacienda
111,Jamestown,US,43.02,mist,42.097,-79.2353,DoubleTree Jamestown
112,Kodiak,US,40.51,mist,57.79,-152.4072,Shelikof Lodge
113,Port Hardy,CA,42.69,overcast clouds,50.6996,-127.4199,No hotel found
114,Hithadhoo,MV,81.5,broken clouds,-0.6,73.0833,Pebbles Inn
118,Hokitika,NZ,67.6,scattered clouds,-42.7167,170.9667,Beachfront Hotel
119,Mount Vernon,US,50.02,few clouds,40.9126,-73.8371,Hyatt Place
