City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Suileng,CN,47.25,127.0833,-16.53,93,8,3.69,clear sky
116,Deputatskiy,RU,69.3,139.9,-18.13,98,100,3.67,overcast clouds
117,Cherskiy,RU,68.75,161.3,-45.92,99,93,5.06,overcast clouds
118,Hokitika,NZ,-42.7167,170.9667,67.6,69,50,7.58,scattered clouds
119,Mount Vernon,US,40.9126,-73.8371,50.02,68,20,3.44,few clouds
120,Isabela,PH,6.7085,121.9711,84.25,81,100,2.59,overcast clouds
121,Boguchany,RU,58.3814,97.4531,-3.96,92,97,2.28,overcast clouds
122,Mahebourg,MU,-20.4081,57.7,72.25,88,20,5.75,few clouds
123,Kalakamati,BW,-20.5929,27.3121,65.17,68,77,9.22,broken clouds
124,Churapcha,RU,62.0025,132.4325,-44.61,100,93,2.53,overcast clouds
125,Bredasdorp,ZA,-34.5322,20.0403,66.61,89,20,12.19,few clouds
126,Dikson,RU,73.5069,80.5464,-15.5,99,100,7.83,overcast clouds
127,Port Hedland,AU,-20.3167,118.5667,87.85,62,75,9.22,broken clouds
128,Minjur,IN,13.2667,80.2667,75.22,73,8,2.06,clear sky
129,Kolondieba,ML,11.0882,-6.8926,69.75,15,26,5.53,scattered clouds
130,Nikolskoye,RU,59.7035,30.7861,28.8,80,6,12.41,clear sky
131,Svetlogorsk,BY,52.6333,29.7333,46.42,85,97,12.95,overcast clouds
132,Tasiilaq,GL,65.6145,-37.6368,1.56,51,0,7.58,clear sky
133,Novoilinsk,RU,51.6829,108.7143,-21.14,100,43,1.92,scattered clouds
134,Port Alfred,ZA,-33.5906,26.891,63.18,94,4,1.01,clear sky
135,Hamilton,US,39.1834,-84.5333,53.94,92,100,5.75,mist
136,Paita,PE,-5.0892,-81.1144,71.04,73,98,17.85,overcast clouds
137,Cardston,CA,49.2,-113.3019,32.29,55,5,6.91,clear sky
138,Abancay,PE,-13.6339,-72.8814,60.31,83,96,4.72,overcast clouds
139,Victoria,HK,22.2855,114.1577,67.24,71,100,11.01,overcast clouds
140,Roald,NO,62.5833,6.1333,32.09,64,53,8.05,broken clouds
141,Gravdal,NO,68.1214,13.5031,38.41,88,100,31.59,overcast clouds
142,Guerrero Negro,MX,27.9769,-114.0611,62.8,69,68,17.6,broken clouds
143,Turbat,PK,26.0023,63.044,59.9,31,0,9.75,clear sky
144,Kovdor,RU,67.5662,30.4758,24.85,95,98,8.19,light snow
145,Padang,ID,-0.9492,100.3543,75.85,86,100,2.55,overcast clouds
146,Bajil,YE,15.0584,43.2851,76.53,80,94,5.26,overcast clouds
147,Makasar,ID,-5.14,119.4221,82.45,74,20,3.44,few clouds
148,Pinerolo,IT,44.8833,7.35,50.63,81,100,2.08,overcast clouds
149,Santa Cruz,BO,-17.8,-63.1667,80.06,83,20,5.75,few clouds
150,Eureka,US,40.8021,-124.1637,52.2,77,44,2.84,scattered clouds
151,Yanam,IN,16.7333,82.2167,69.91,84,9,1.63,clear sky
152,Pangody,RU,65.85,74.4859,-29.85,100,94,5.26,overcast clouds
153,Vetluzhskiy,RU,58.3902,45.4654,32.68,99,100,5.55,light snow
154,Gat,IL,31.61,34.7642,61.48,100,90,29.71,overcast clouds
155,Qaanaaq,GL,77.484,-69.3632,-0.99,57,89,4.09,overcast clouds
156,Qaqortoq,GL,60.7167,-46.0333,-6.47,68,5,6.22,clear sky
157,Lebu,CL,-37.6167,-73.65,57.02,77,5,14.2,clear sky
158,Qianan,CN,44.9932,124.0581,0.39,82,0,6.55,clear sky
159,Hammerfest,NO,70.6634,23.6821,36.05,69,75,10.36,broken clouds
160,Ambon,ID,-3.6954,128.1814,86.14,66,20,12.66,few clouds
161,Banyo,CM,6.75,11.8167,64.85,33,2,3.51,clear sky
162,Ponta Do Sol,PT,32.6667,-17.1,64.71,83,97,5.68,overcast clouds
163,Suratgarh,IN,29.3167,73.9,50.31,42,0,7.29,clear sky
164,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,80,0,5.01,clear sky
165,Chokurdakh,RU,70.6333,147.9167,-19.73,98,99,4.21,overcast clouds
166,Fuyang,CN,32.9,115.8167,36.48,67,84,5.5,broken clouds
167,Mehamn,NO,71.0357,27.8492,33.71,100,100,3.44,light snow
168,Georgetown,MY,5.4112,100.3354,78.73,75,20,9.22,few clouds
169,Xining,CN,36.6167,101.7667,15.82,61,73,2.13,broken clouds
170,Manta,EC,-0.95,-80.7333,78.58,78,75,8.05,broken clouds
171,Ilulissat,GL,69.2167,-51.1,-3.98,71,100,20.71,overcast clouds
172,Broken Hill,AU,-31.95,141.4333,96.51,26,20,15.99,few clouds
173,Vigrestad,NO,58.5667,5.7,36.97,80,97,12.84,overcast clouds
174,Korla,CN,41.7597,86.1469,17.74,63,1,1.92,clear sky
175,Chuy,UY,-33.6971,-53.4616,72.73,87,96,18.03,light rain
176,Kodinar,IN,20.7903,70.7031,64.74,39,6,9.55,clear sky
177,Wageningen,NL,51.9667,5.6667,53.69,95,75,9.22,broken clouds
178,Hukuntsi,BW,-24.0,21.75,75.04,50,32,11.99,scattered clouds
179,Bethel,US,41.3712,-73.414,44.94,74,20,1.99,few clouds
180,Yumen,CN,40.2833,97.2,15.4,48,84,3.06,broken clouds
181,Kasongo,CD,-4.45,26.6667,68.11,97,100,1.68,light rain
182,Samarai,PG,-10.6167,150.6667,83.89,70,100,8.32,overcast clouds
183,Nome,US,64.5011,-165.4064,19.47,68,0,18.41,clear sky
184,Santa Rosa,PH,14.3122,121.1114,83.01,75,59,10.25,broken clouds
185,Iqaluit,CA,63.7506,-68.5145,-13.27,75,20,2.3,few clouds
186,Alice Springs,AU,-23.7,133.8833,89.15,40,99,12.66,overcast clouds
187,Abu Dhabi,AE,24.4667,54.3667,68.97,77,0,0.0,clear sky
188,Riyadh,SA,24.6877,46.7219,50.14,66,100,5.95,overcast clouds
189,Aitape,PG,-3.1374,142.3475,84.67,66,55,1.5,broken clouds
190,Seaford,GB,50.7714,0.1027,47.08,94,100,1.01,overcast clouds
191,Fortuna,US,40.5982,-124.1573,51.93,80,0,3.44,clear sky
192,Rawah,IQ,34.4816,41.9093,48.79,38,100,6.17,overcast clouds
193,Champerico,GT,14.3,-91.9167,80.06,74,87,8.32,overcast clouds
194,Te Anau,NZ,-45.4167,167.7167,70.84,55,59,2.35,broken clouds
195,Murud,IN,18.3258,72.965,67.91,60,0,3.76,clear sky
196,Salina,US,38.8403,-97.6114,46.53,76,0,9.22,clear sky
197,San Ramon,US,37.7799,-121.978,60.12,46,0,12.66,clear sky
198,Baglung,NP,28.2719,83.5898,45.82,69,53,4.18,broken clouds
199,Ouadda,CF,8.0777,22.4007,70.18,31,4,5.77,clear sky
